Polymer_Name,Solvent_Name,Solute_Name,Tg_K,Polymer_Xc,CHRIS_Category,Solute_CAS,Solute_InChIKey,Solute_SMILES,solute_MW,solute_ring_count,solute_aromatic_ring_count,solute_rotatable_bond_count
ECTFE,tetrachloroethylene,tetrachloroethylene,358.15,0.6,P3,127-18-4,CYTYCFOTNPOANT-UHFFFAOYSA-N,C(=C(Cl)Cl)(Cl)Cl,165.834,0.0,0.0,0.0
EPDM,"2,2,4-trimethylpentane",224 trimethylpentane,220.0,0.0,R2,540-84-1,NHTMVDHEPJAVLT-UHFFFAOYSA-N,CC(C)CC(C)(C)C,114.232,0.0,0.0,1.0
EPDM,dichloromethane,dichloromethane,220.0,0.0,R2,75-09-2,YMWUJEATGCHHMB-UHFFFAOYSA-N,C(Cl)Cl,84.933,0.0,0.0,0.0
EPDM,dodecane,dodecane,220.0,0.0,R2,112-40-3,SNRUBQQJIBEYMU-UHFFFAOYSA-N,CCCCCCCCCCCC,170.34,0.0,0.0,9.0
EPDM,hexadecane,hexadecane,220.0,0.0,R2,544-76-3,DCAYPVUWAIABOU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC,226.448,0.0,0.0,13.0
EPDM,methyl acetate,methyl acetate,220.0,0.0,R2,79-20-9,KXKVLQRXCPHEJC-UHFFFAOYSA-N,CC(=O)OC,74.079,0.0,0.0,0.0
EPDM,octane,octane,220.0,0.0,R2,111-65-9,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,114.232,0.0,0.0,5.0
EPDM,tetradecane,tetradecane,220.0,0.0,R2,629-59-4,BGHCVCJVXZWKCC-UHFFFAOYSA-N,CCCCCCCCCCCCCC,198.394,0.0,0.0,11.0
EPP,cyclohexane,cyclohexane,216.0,0.0,P1,110-82-7,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,84.162,1.0,0.0,0.0
EPP,ethylene,ethylene,216.0,0.277,P1,74-85-1,VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C,28.054,0.0,0.0,0.0
EPP,ethylene,ethylene,216.0,0.284,P1,74-85-1,VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C,28.054,0.0,0.0,0.0
EPP,ethylene,ethylene,216.0,0.509,P1,74-85-1,VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C,28.054,0.0,0.0,0.0
EPP,ethylene,ethylene,216.0,0.432,P1,74-85-1,VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C,28.054,0.0,0.0,0.0
FEP,tetrachloroethylene,tetrachloroethylene,353.15,0.4,P2,127-18-4,CYTYCFOTNPOANT-UHFFFAOYSA-N,C(=C(Cl)Cl)(Cl)Cl,165.834,0.0,0.0,0.0
HDPE,"1,1,1-trichloroethane",111 trichloroethane,200.0,0.455,P3,71-55-6,UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,133.405,0.0,0.0,0.0
HDPE,"1,1,1-trichloroethane",111 trichloroethane,200.0,0.35,P3,71-55-6,UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,133.405,0.0,0.0,0.0
HDPE,"1,1,1-trichloroethane",111 trichloroethane,200.0,0.375,P3,71-55-6,UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,133.405,0.0,0.0,0.0
HDPE,CO2,carbon dioxide,200.0,0.0,P3,124-38-9,CURLTUGMZLYLDI-UHFFFAOYSA-N,C(=O)=O,44.009,0.0,0.0,0.0
HDPE,N2,nitrogen,200.0,0.0,P3,7727-37-9,IJGRMHOSHXDMSA-UHFFFAOYSA-N,N#N,28.014,0.0,0.0,0.0
HDPE,chlorobenzene,chlorobenzene,200.0,0.455,P3,108-90-7,MVPPADPHJFYWMZ-UHFFFAOYSA-N,C1=CC=C(C=C1)Cl,112.559,1.0,1.0,0.0
HDPE,chlorobenzene,chlorobenzene,200.0,0.39,P3,108-90-7,MVPPADPHJFYWMZ-UHFFFAOYSA-N,C1=CC=C(C=C1)Cl,112.559,1.0,1.0,0.0
HDPE,chlorobenzene,chlorobenzene,200.0,0.32,P3,108-90-7,MVPPADPHJFYWMZ-UHFFFAOYSA-N,C1=CC=C(C=C1)Cl,112.559,1.0,1.0,0.0
HDPE,heptane,heptane,200.0,0.7,P3,142-82-5,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,100.205,0.0,0.0,4.0
HDPE,hexane,26 di tert butyl 4 methylphenol,200.0,0.68,P3,128-37-0,NLZUEZXRPGMBCV-UHFFFAOYSA-N,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,220.356,1.0,1.0,0.0
HDPE,hexane,hexane,200.0,0.77,P3,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
HDPE,hexane,irganox 1010,200.0,0.68,P3,5106-16-1,BGYHLZZASRKEJE-UHFFFAOYSA-N,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCC(COC(=O)CCC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C)(COC(=O)CCC3=CC(=C(C(=C3)C(C)(C)C)O)C(C)(C)C)COC(=O)CCC4=CC(=C(C(=C4)C(C)(C)C)O)C(C)(C)C,1177.655,4.0,4.0,20.0
HDPE,hexane,irganox 1076,200.0,0.68,P3,2082-79-3,SSDSCDGVMJFTEQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCOC(=O)CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,530.878,1.0,1.0,20.0
HDPE,isopropanol,26 di tert butyl 4 methylphenol,200.0,0.68,P3,128-37-0,NLZUEZXRPGMBCV-UHFFFAOYSA-N,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,220.356,1.0,1.0,0.0
HDPE,isopropanol,irganox 1010,200.0,0.68,P3,5106-16-1,BGYHLZZASRKEJE-UHFFFAOYSA-N,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCC(COC(=O)CCC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C)(COC(=O)CCC3=CC(=C(C(=C3)C(C)(C)C)O)C(C)(C)C)COC(=O)CCC4=CC(=C(C(=C4)C(C)(C)C)O)C(C)(C)C,1177.655,4.0,4.0,20.0
HDPE,isopropanol,irganox 1076,200.0,0.68,P3,2082-79-3,SSDSCDGVMJFTEQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCOC(=O)CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,530.878,1.0,1.0,20.0
HDPE,octane,octane,200.0,0.65,P3,111-65-9,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,114.232,0.0,0.0,5.0
HDPE,octane,octane,200.0,0.405,P3,111-65-9,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,114.232,0.0,0.0,5.0
HDPE,octane,octane,200.0,0.6,P3,111-65-9,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,114.232,0.0,0.0,5.0
HDPE,p-xylene,pxylene,200.0,0.732984293,P3,106-42-3,URLKBWYHVLBVBO-UHFFFAOYSA-N,CC1=CC=C(C=C1)C,106.168,1.0,1.0,0.0
HDPE,toluene,toluene,200.0,0.435,P3,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
HDPE,toluene,toluene,200.0,0.455,P3,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
HDPE,toluene,toluene,200.0,0.7,P3,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
HDPE,toluene,toluene,200.0,0.4,P3,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
HDPE,toluene,toluene,200.0,0.38,P3,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
LDPE,"2,2-dimethylbutane",22 dimethylbutane,200.0,0.57,P1,75-83-2,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,CCC(C)(C)C,86.178,0.0,0.0,0.0
LDPE,benzene,benzene,200.0,0.6,P1,71-43-2,UHOVQNZJYSORNB-UHFFFAOYSA-N,C1=CC=CC=C1,78.114,1.0,1.0,0.0
LDPE,benzene,benzene,200.0,0.7,P1,71-43-2,UHOVQNZJYSORNB-UHFFFAOYSA-N,C1=CC=CC=C1,78.114,1.0,1.0,0.0
LDPE,carbon tetrachloride,carbon tetrachloride,200.0,0.7,P1,56-23-5,VZGDMQKNWNREIO-UHFFFAOYSA-N,C(Cl)(Cl)(Cl)Cl,153.823,0.0,0.0,0.0
LDPE,cyclohexane,cyclohexane,200.0,0.57,P1,110-82-7,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,84.162,1.0,0.0,0.0
LDPE,cyclohexane,cyclohexane,200.0,0.7,P1,110-82-7,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,84.162,1.0,0.0,0.0
LDPE,decane,decane,200.0,0.7,P1,124-18-5,DIOQZVSQGTUSAI-UHFFFAOYSA-N,CCCCCCCCCC,142.286,0.0,0.0,7.0
LDPE,decane,decane,200.0,0.57,P1,124-18-5,DIOQZVSQGTUSAI-UHFFFAOYSA-N,CCCCCCCCCC,142.286,0.0,0.0,7.0
LDPE,ethylene,ethylene,200.0,0.35,P1,74-85-1,VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C,28.054,0.0,0.0,0.0
LDPE,ethylene,hexane,200.0,0.35,P1,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
LDPE,heptane,heptane,200.0,0.45,P1,142-82-5,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,100.205,0.0,0.0,4.0
LDPE,heptane,heptane,200.0,0.35,P1,142-82-5,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,100.205,0.0,0.0,4.0
LDPE,hexane,hexane,200.0,0.7,P1,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
LDPE,hexane,hexane,200.0,0.6,P1,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
LDPE,hexane,hexane,200.0,0.57,P1,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
LDPE,hexane,hexane,200.0,0.71,P1,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
LDPE,hexane,hexane,200.0,0.54,P1,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
LDPE,isobutylene,isobutylene,200.0,0.6,P1,115-11-7,VQTUBCCKSQIDNK-UHFFFAOYSA-N,CC(=C)C,56.1,0.0,0.0,0.0
LDPE,octane,octane,200.0,0.7,P1,111-65-9,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,114.232,0.0,0.0,5.0
LDPE,pentane,pentane,200.0,0.35,P1,109-66-0,OFBQJSOFQDEBGM-UHFFFAOYSA-N,CCCCC,72.151,0.0,0.0,2.0
LDPE,propane,propane,200.0,0.58,P1,74-98-6,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,CCC,44.097,0.0,0.0,0.0
LDPE,tetradecane,tetradecane,200.0,0.57,P1,629-59-4,BGHCVCJVXZWKCC-UHFFFAOYSA-N,CCCCCCCCCCCCCC,198.394,0.0,0.0,11.0
LDPE,toluene,toluene,200.0,0.45,P1,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
LDPE,toluene,toluene,200.0,0.35,P1,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
NBR,"2,2-dimethylbutane",22 dimethylbutane,230.0,0.0,R2,75-83-2,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,CCC(C)(C)C,86.178,0.0,0.0,0.0
NBR,cyclohexane,cyclohexane,230.0,0.0,R2,110-82-7,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,84.162,1.0,0.0,0.0
NBR,decane,decane,230.0,0.0,R2,124-18-5,DIOQZVSQGTUSAI-UHFFFAOYSA-N,CCCCCCCCCC,142.286,0.0,0.0,7.0
NBR,dichloromethane,dichloromethane,230.0,0.0,R2,75-09-2,YMWUJEATGCHHMB-UHFFFAOYSA-N,C(Cl)Cl,84.933,0.0,0.0,0.0
NBR,hexane,hexane,230.0,0.0,R2,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
NBR,methyl acetate,methyl acetate,230.0,0.0,R2,79-20-9,KXKVLQRXCPHEJC-UHFFFAOYSA-N,CC(=O)OC,74.079,0.0,0.0,0.0
NBR,tetradecane,tetradecane,230.0,0.0,R2,629-59-4,BGHCVCJVXZWKCC-UHFFFAOYSA-N,CCCCCCCCCCCCCC,198.394,0.0,0.0,11.0
PBD,benzene,benzene,172.0,0.0,R2,71-43-2,UHOVQNZJYSORNB-UHFFFAOYSA-N,C1=CC=CC=C1,78.114,1.0,1.0,0.0
PBD,dodecane,dodecane,172.0,0.0,R2,112-40-3,SNRUBQQJIBEYMU-UHFFFAOYSA-N,CCCCCCCCCCCC,170.34,0.0,0.0,9.0
PBD,hexafluorobenzene,dodecane,172.0,0.0,R2,112-40-3,SNRUBQQJIBEYMU-UHFFFAOYSA-N,CCCCCCCCCCCC,170.34,0.0,0.0,9.0
PBMA,benzene,benzene,300.0,0.0,P1,71-43-2,UHOVQNZJYSORNB-UHFFFAOYSA-N,C1=CC=CC=C1,78.114,1.0,1.0,0.0
PC,"1,2-dichloroethane",12 dichloroethane,423.0,0.008,G2,107-06-2,WSLDOOZREJYCGB-UHFFFAOYSA-N,C(CCl)Cl,98.96,0.0,0.0,1.0
